Date,stock price
2017-04-03,41.112091064453125
2017-04-04,39.61093521118164
2017-04-05,40.00802230834961
2017-04-06,40.40509033203125
2017-04-07,40.49226379394531
2017-04-10,40.98617935180664
2017-04-11,42.54544448852539
2017-04-12,42.574493408203125
2017-04-13,41.98371505737305
2017-04-17,42.83598327636719
2017-04-18,42.42922592163086
2017-04-19,43.00062561035156
2017-04-20,43.794776916503906
2017-04-21,43.72698974609375
2017-04-24,44.97633361816406
2017-04-25,45.14097213745117
2017-04-26,44.93759536743164
2017-04-27,42.59386444091797
2017-04-28,41.27672576904297
2017-05-01,40.753746032714844
2017-05-02,42.48733139038086
2017-05-03,42.5357551574707
2017-05-04,42.526065826416016
2017-05-05,43.10716247558594
2017-05-08,43.52360534667969
2017-05-09,45.596160888671875
2017-05-10,45.80921936035156
2017-05-11,45.07317352294922
2017-05-12,44.481136322021484
2017-05-15,45.306114196777344
2017-05-16,45.55846405029297
2017-05-17,43.5979118347168
2017-05-18,43.33585739135742
2017-05-19,43.88908767700195
2017-05-22,44.849945068359375
2017-05-23,45.286705017089844
2017-05-24,45.39345932006836
2017-05-25,46.60667419433594
2017-05-26,47.30548858642578
2017-05-30,46.54844284057617
2017-05-31,46.98519515991211
2017-06-01,47.60635757446289
2017-06-02,48.062530517578125
2017-06-05,48.27605056762695
2017-06-06,48.27605056762695
2017-06-07,49.36308670043945
2017-06-08,49.91631317138672
2017-06-09,48.79045486450195
2017-06-12,48.023704528808594
2017-06-13,47.99457931518555
2017-06-14,47.93634796142578
2017-06-15,47.66459655761719
2017-06-16,47.35401153564453
2017-06-19,48.19840621948242
2017-06-20,46.61637496948242
2017-06-21,47.004608154296875
2017-06-22,47.52871322631836
2017-06-23,47.19872283935547
2017-06-26,47.34429931640625
2017-06-27,47.07255172729492
2017-06-28,47.80047607421875
2017-06-29,48.159576416015625
2017-06-30,48.838985443115234
2017-07-03,48.906925201416016
2017-07-05,49.75131607055664
2017-07-06,50.518062591552734
2017-07-07,51.46921920776367
2017-07-10,51.110111236572266
2017-07-11,50.09101486206055
2017-07-12,52.216552734375
2017-07-13,52.226261138916016
2017-07-14,52.62419509887695
2017-07-17,52.28449630737305
2017-07-18,51.585689544677734
2017-07-19,51.061580657958984
2017-07-20,50.79952621459961
2017-07-21,50.38218307495117
2017-07-24,49.77072525024414
2017-07-25,49.120445251464844
2017-07-26,49.5086669921875
2017-07-27,48.52839660644531
2017-07-28,49.00397872924805
2017-07-31,48.9554557800293
2017-08-01,49.55720138549805
2017-08-02,48.96516036987305
2017-08-03,49.06221389770508
2017-08-04,49.30485153198242
2017-08-07,49.09132766723633
2017-08-08,48.52839660644531
2017-08-09,47.9460563659668
2017-08-10,47.21665573120117
2017-08-11,47.02214050292969
2017-08-14,47.469512939453125
2017-08-15,47.18748092651367
2017-08-16,47.08049774169922
2017-08-17,44.76586151123047
2017-08-18,44.29904556274414
2017-08-21,44.454654693603516
2017-08-22,44.16289520263672
2017-08-23,42.76244354248047
2017-08-24,41.74127960205078
2017-08-25,44.00728988647461
2017-08-28,43.71552658081055
2017-08-29,43.336238861083984
2017-08-30,43.10282897949219
2017-08-31,43.51129150390625
2017-09-01,44.06563949584961
2017-09-05,42.713809967041016
2017-09-06,43.09309387207031
2017-09-07,42.63600540161133
2017-09-08,42.40259552001953
2017-09-11,44.60053253173828
2017-09-12,45.01872253417969
2017-09-13,45.709224700927734
2017-09-14,44.921470642089844
2017-09-15,44.736690521240234
2017-09-18,44.06563949584961
2017-09-19,43.16118240356445
2017-09-20,44.17262268066406
2017-09-21,45.01872253417969
2017-09-22,45.767574310302734
2017-09-25,46.38999938964844
2017-09-26,46.27330017089844
2017-09-27,45.56333541870117
2017-09-28,46.185768127441406
2017-09-29,46.185768127441406
2017-10-02,46.41917037963867
2017-10-03,49.122825622558594
2017-10-04,49.33678436279297
2017-10-05,49.17145538330078
2017-10-06,49.89112854003906
2017-10-09,49.21035385131836
2017-10-10,51.57362365722656
2017-10-11,51.379119873046875
2017-10-12,51.20405960083008
2017-10-13,51.252681732177734
2017-10-16,50.83449172973633
2017-10-17,50.63998794555664
2017-10-18,50.6010856628418
2017-10-19,50.09535598754883
2017-10-20,50.50383758544922
2017-10-23,49.579925537109375
2017-10-24,50.52328109741211
2017-10-25,49.61882400512695
2017-10-26,47.27500915527344
2017-10-27,46.253849029541016
2017-10-30,45.952362060546875
2017-10-31,45.53416442871094
2017-11-01,46.526153564453125
2017-11-02,46.05934143066406
2017-11-03,46.14686584472656
2017-11-06,46.20521545410156
2017-11-07,45.184059143066406
2017-11-08,45.096527099609375
2017-11-09,44.513004302978516
2017-11-10,44.65919876098633
2017-11-13,44.58123016357422
2017-11-14,44.64945983886719
2017-11-15,45.99448776245117
2017-11-16,46.472084045410156
2017-11-17,46.18942642211914
2017-11-20,46.48183059692383
2017-11-21,47.41750717163086
2017-11-22,47.42724609375
2017-11-24,47.32979202270508
2017-11-27,47.193328857421875
2017-11-28,47.97306823730469
2017-11-29,48.00231170654297
2017-11-30,49.21089172363281
2017-12-01,47.758636474609375
2017-12-04,48.66508483886719
2017-12-05,48.216739654541016
2017-12-06,48.35319137573242
2017-12-07,49.59101104736328
2017-12-08,49.727474212646484
2017-12-11,50.000370025634766
2017-12-12,49.19140625
2017-12-13,48.82102966308594
2017-12-14,48.93798828125
2017-12-15,49.766456604003906
2017-12-18,50.18555450439453
2017-12-19,50.1368293762207
2017-12-20,50.60466384887695
2017-12-21,51.45262908935547
2017-12-22,51.257694244384766
2017-12-26,51.51110076904297
